frame_index,timestamp_s,reference_speed_kmh,predicted_speed_kmh
0,0.000000,59,57.577118
1,0.033333,59,57.577118
2,0.066667,59,57.577114
3,0.100000,59,57.577118
4,0.133333,59,58.076271
5,0.166667,59,58.742207
6,0.200000,59,59.408466
7,0.233333,59,60.074860
8,0.266667,59,60.741230
9,0.300000,59,61.407425
10,0.333333,59,62.073277
11,0.366667,60,62.416935
12,0.400000,60,61.795040
13,0.433333,60,61.172756
14,0.466667,60,60.550224
15,0.500000,60,57.445202
16,0.533333,60,56.875805
17,0.566667,60,56.335461
18,0.600000,60,55.824238
19,0.633333,60,56.297649
20,0.666667,60,57.119068
21,0.700000,60,57.969841
22,0.733333,60,58.849632
23,0.766667,60,59.758030
24,0.800000,60,60.694519
25,0.833333,60,61.658497
26,0.866667,60,62.245586
27,0.900000,60,61.602146
28,0.933333,60,60.911942
29,0.966667,60,60.175301
30,1.000000,60,60.301804
31,1.033333,60,59.838341
32,1.066667,60,59.422401
33,1.100000,60,59.054180
34,1.133333,61,59.502041
35,1.166667,61,60.189190
36,1.200000,61,60.850121
37,1.233333,61,61.484646
38,1.266667,61,62.092598
39,1.300000,61,62.673840
40,1.333333,61,63.228218
41,1.366667,61,63.580391
42,1.400000,61,63.380001
43,1.433333,61,63.152836
44,1.466667,61,62.898918
45,1.500000,61,64.652985
46,1.533333,61,64.344856
47,1.566667,61,64.062653
48,1.600000,61,63.806473
49,1.633333,61,64.209610
50,1.666667,61,64.783188
51,1.700000,61,65.306442
52,1.733333,61,65.779243
53,1.766667,61,66.201538
54,1.800000,61,66.573311
55,1.833333,61,66.894585
56,1.866667,61,67.019089
57,1.900000,61,66.673416
58,1.933333,61,66.308113
59,1.966667,62,65.923195
60,2.000000,62,64.019638
61,2.033333,62,63.769390
62,2.066667,62,63.538322
63,2.100000,62,63.326485
64,2.133333,62,63.779804
65,2.166667,62,64.415497
66,2.200000,62,65.010666
67,2.233333,62,65.565201
68,2.266667,62,66.079041
69,2.300000,62,66.552170
70,2.333333,62,66.984650
71,2.366667,62,67.158592
72,2.400000,62,66.643463
73,2.433333,62,66.096405
74,2.466667,62,65.517456
75,2.500000,62,62.343914
76,2.533333,62,61.889591
77,2.566667,62,61.466286
78,2.600000,62,61.074139
79,2.633333,63,61.537376
80,2.666667,63,62.244236
81,2.700000,63,62.910820
82,2.733333,63,63.536892
83,2.766667,63,64.122261
84,2.800000,63,64.666809
85,2.833333,63,65.170509
86,2.866667,63,65.391312
87,2.900000,63,64.850677
88,2.933333,63,64.278107
89,2.966667,63,63.673683
90,3.000000,63,61.800591
91,3.033333,63,61.454441
92,3.066667,63,61.139893
93,3.100000,63,60.857056
94,3.133333,63,61.326012
95,3.166667,63,62.007950
96,3.200000,63,62.654247
97,3.233333,64,63.264687
98,3.266667,64,63.839100
99,3.300000,64,64.377342
100,3.333333,64,64.879333
101,3.366667,64,65.132774
102,3.400000,64,64.715714
103,3.433333,64,64.266258
104,3.466667,64,63.784470
105,3.500000,64,64.055916
106,3.533333,64,63.729980
107,3.566667,64,63.435574
108,3.600000,64,63.172821
109,3.633333,64,63.934055
110,3.666667,64,64.972160
111,3.700000,64,65.943314
112,3.733333,64,66.846809
113,3.766667,64,67.682091
114,3.800000,64,68.448830
115,3.833333,64,69.146912
116,3.866667,64,69.529541
117,3.900000,65,69.130524
118,3.933333,65,68.706734
119,3.966667,65,68.258133
120,4.000000,65,67.247597
121,4.033333,65,66.997093
122,4.066667,65,66.770309
123,4.100000,65,66.567337
124,4.133333,65,67.089104
125,4.166667,65,67.812996
126,4.200000,65,68.497368
127,4.233333,65,69.142212
128,4.266667,65,69.747513
129,4.300000,65,70.313332
130,4.333333,65,70.839798
131,4.366667,65,71.121674
132,4.400000,65,70.755737
133,4.433333,66,70.362579
134,4.466667,66,69.942123
135,4.500000,66,69.277084
136,4.533333,66,68.967537
137,4.566667,66,68.683456
138,4.600000,66,68.425018
